,^HSI
Start,2013-01-02 00:00:00+08:00
End,2023-02-09 00:00:00+08:00
Duration,3690 days 00:00:00
Exposure Time [%],29.43305186972256
Equity Final [$],15959115.19815234
Equity Peak [$],17171567.839992188
Return [%],22.762424601171837
Buy & Hold Return [%],-7.239286666408617
Return (Ann.) [%],2.0997612833126844
Volatility (Ann.) [%],8.172077808180212
Sharpe Ratio,0.2569433787342104
Sortino Ratio,0.37586172017566405
Calmar Ratio,0.11712833688052497
Max. Drawdown [%],-17.927013558252046
Avg. Drawdown [%],-2.6366048816553773
Max. Drawdown Duration,1829 days 00:00:00
Avg. Drawdown Duration,130 days 00:00:00
# Trades,14
Win Rate [%],42.857142857142854
Best Trade [%],12.506641214467829
Worst Trade [%],-4.20841683366735
Avg. Trade [%],1.476059632589899
Max. Trade Duration,289 days 00:00:00
Avg. Trade Duration,77 days 00:00:00
Profit Factor,1.752180986027372
Expectancy [%],1.7180555007205136
SQN,0.736809816986372
_strategy,MeanReversion_withRACD
_equity_curve,"                                 Equity  DrawdownPct DrawdownDuration
Date                                                                 
2013-01-02 00:00:00+08:00  1.300000e+07     0.000000              NaT
2013-01-03 00:00:00+08:00  1.300000e+07     0.000000              NaT
2013-01-04 00:00:00+08:00  1.300000e+07     0.000000              NaT
2013-01-07 00:00:00+08:00  1.300000e+07     0.000000              NaT
2013-01-08 00:00:00+08:00  1.300000e+07     0.000000              NaT
...                                 ...          ...              ...
2023-02-03 00:00:00+08:00  1.595912e+07     0.070608              NaT
2023-02-06 00:00:00+08:00  1.595912e+07     0.070608              NaT
2023-02-07 00:00:00+08:00  1.595912e+07     0.070608              NaT
2023-02-08 00:00:00+08:00  1.595912e+07     0.070608              NaT
2023-02-09 00:00:00+08:00  1.595912e+07     0.070608        1829 days

[2487 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar    EntryPrice     ExitPrice           PnL  ReturnPct                 EntryTime                  ExitTime Duration
0    602       159      224  21567.699691  24107.608438  1.529025e+06   0.117764 2013-08-28 00:00:00+08:00 2013-12-02 00:00:00+08:00  96 days
1    621       231      261  23384.916715  22404.710625 -6.087080e+05  -0.041916 2013-12-11 00:00:00+08:00 2014-01-27 00:00:00+08:00  47 days
2    609       359      554  22850.420168  25708.240234  1.740412e+06   0.125066 2014-06-23 00:00:00+08:00 2015-04-08 00:00:00+08:00 289 days
3    755       817      825  20718.293332  19849.861875 -6.556658e+05  -0.041916 2016-05-03 00:00:00+08:00 2016-05-13 00:00:00+08:00  10 days
4    557      1133     1163  26937.276785  27500.339844  3.136261e+05   0.020903 2017-08-11 00:00:00+08:00 2017-09-25 00:00:00+08:00  45 days
5    555      1163     1232  27555.340523  30893.859375  1.852878e+06   0.121157 2017-09-25 00:00:00+08:00 2018-01-05 00:00:00+08:00 102 days
6    560      1254     1257  30656.610762  29371.603125 -7.196043e+05  -0.041916 2018-02-06 00:00:00+08:00 2018-02-09 00:00:00+08:00   3 days
7    541      1285     1344  30369.907641  29096.917500 -6.886877e+05  -0.041916 2018-03-23 00:00:00+08:00 2018-06-22 00:00:00+08:00  91 days
8   -596      1435     1492  26433.376910  27545.803594 -6.630063e+05  -0.042084 2018-11-02 00:00:00+08:00 2019-01-25 00:00:00+08:00  84 days
9    533      1519     1573  28284.876762  27099.283125 -6.319214e+05  -0.041916 2019-03-08 00:00:00+08:00 2019-05-30 00:00:00+08:00  83 days
10  -514      1586     1640  28145.736344  26523.230469  8.339680e+05   0.057647 2019-06-19 00:00:00+08:00 2019-09-04 00:00:00+08:00  77 days
11  -578      1640     1645  26470.184008  27159.060547 -3.981706e+05  -0.026025 2019-09-04 00:00:00+08:00 2019-09-11 00:00:00+08:00   7 days
12  -549      1645     1719  27104.742426  28245.422969 -6.262336e+05  -0.042084 2019-09-11 00:00:00+08:00 2019-12-30 00:00:00+08:00 110 days
13   591      1925     1943  24155.634762  27000.310313  1.681203e+06   0.117764 2020-10-30 00:00:00+08:00 2020-11-25 00:00:00+08:00  26 days"
